1.6085,13.6163
1.5932,13.2539
1.5728,12.8772
1.5524,12.5673
1.5379,12.3489
1.5264,12.1734
1.5158,12.0139
1.5055,11.8557
1.4929,11.6572
1.4821,11.4866
1.4758,11.3834
1.4721,11.3216
1.4693,11.2761
1.4674,11.2434
1.4659,11.2183
1.4645,11.196
1.4633,11.1755
1.462,11.1524
1.4604,11.125
1.4582,11.0877
1.4556,11.0421
1.4301,10.6093
1.4125,10.2765
1.4037,10.0769
1.3974,9.9047
1.3924,9.7489
1.3886,9.6086
1.3855,9.4871
1.3827,9.367
1.3798,9.2358
1.3774,9.0805
1.375,8.9023
1.3694,8.7182
1.3589,8.5399
1.3487,8.364
1.3375,8.1888
1.3227,8.0181
1.3035,7.8493
1.2804,7.6856
1.2675,7.6017
1.2539,7.5192
1.2399,7.4382
1.2252,7.3586
1.21,7.2806
1.1944,7.2037
1.1785,7.1281
1.1625,7.0535
1.1465,6.9797
1.1305,6.9072
1.1146,6.8358
1.0991,6.7659
1.0843,6.6972
1.0698,6.6301
1.056,6.5643
1.0425,6.5
1.0294,6.437
1.0168,6.3755
1.0048,6.3157
0.9934,6.2576
0.9823,6.2013
0.9718,6.1464
0.9615,6.0931
0.9513,6.0414
0.9415,5.9912
0.9317,5.9424
0.9224,5.8949
0.9133,5.8487
0.9044,5.8037
0.8959,5.7596
0.8868,5.7136
0.8783,5.6684
0.8698,5.6242
0.8616,5.5808
0.8537,5.5384
0.8461,5.4969
0.8388,5.4563
0.8319,5.4164
0.8252,5.3774
0.8187,4.300715884
0.8124,4.195969938
0.8062,4.091223991
0.8002,3.986478045
0.7945,3.881732098
0.7889,3.776986152
0.7836,3.672240205
0.7784,3.567494259
0.7735,3.462748312
0.7687,3.358002366
0.7644,3.25325642
0.7602,3.148510473
0.7561,3.043764527
0.7524,2.93901858
0.7489,2.834272634
0.7456,2.729526687
0.7425,2.624780741
0.7396,2.520034794
0.7369,2.415288848
0.7342,2.310542901
0.7316,2.205796955
0.7303,2.101051008
0.729,1.996305062
0.7278,1.891559116
0.7266,1.786813169
0.7255,1.682067223
0.7243,1.577321276
0.7233,1.47257533
0.7223,1.367829383
0.7213,1.263083437
0.7204,1.15833749
0.7195,1.053591544
0.7185,0.948845597
0.7174,0.844099651
0.7165,0.739353705
0.7156,0.634607758
0.7148,0.529861812
0.7141,0.425115865
0.7134,0.320369919
0.7127,0.215623972
0.7122,0.110878026
0.7119,0.006132079
0.7116,-0.098613867
0.7113,-0.203359814
0.7111,-0.30810576
0.7109,-0.412851707
0.711,-0.517597653
0.711,-0.622343599
0.7113,-0.727089546
0.7115,-0.831835492
0.7119,-0.936581439
0.7125,-1.041327385
0.7132,-1.146073332
0.714,-1.250819278
0.7151,-1.355565225
0.7161,-1.460311171
0.7177,-1.565057118
0.7193,-1.669803064
0.7213,-1.77454901
0.7237,-1.879294957
0.7261,-1.984040903
0.7292,-2.08878685
0.7327,-2.193532796
0.7367,-2.298278743
0.7417,-2.403024689
0.7472,-2.507770636
0.7542,-2.612516582
0.7629,-2.717262529
0.7739,-2.822008475
0.7879,-2.926754422
0.8058,-3.031500368
0.8236,-3.136246314
0.8448,-3.240992261
0.8693,-3.345738207
0.8962,-3.450484154
0.9229,-3.5552301
0.9452,-3.659976047
0.9616,-3.764721993
0.9732,-3.86946794
0.9817,-3.974213886
0.9883,-4.078959833
0.9937,-4.183705779
0.9979,-4.288451725
1.0015,-4.393197672
1.0045,-4.497943618
1.007,-4.602689565
1.0092,-4.707435511
1.0112,-4.812181458
1.013,-4.916927404
1.0147,-5.021673351
1.0164,-5.126419297
1.0176,-5.231165244
1.0188,-5.33591119
1.0199,-5.440657137
1.0211,-5.545403083
1.0224,-5.650149029
1.0238,-5.754894976
1.0253,-5.859640922
1.027,-5.964386869
1.0286,-6.069132815
1.0307,-6.173878762
1.0327,-6.278624708
1.0354,-6.383370655
1.0378,-6.488116601
1.0406,-6.592862548
1.0439,-6.697608494
1.0473,-6.80235444
1.0509,-6.907100387
1.055,-7.011846333
1.0591,-7.11659228
1.0637,-7.221338226
1.0685,-7.326084173
1.0737,-7.430830119
1.0793,-7.535576066
1.0852,-7.640322012
1.0914,-7.745067959
1.0979,-7.849813905
1.1046,-7.954559852
1.1115,-8.059305798
1.1189,-8.164051744
1.1265,-8.268797691
1.1345,-8.373543637
1.1434,-8.478289584
1.1538,-8.58303553
1.1638,-8.687781477
1.1639,-8.792527423
1.1623,-8.89727337
1.1605,-9.002019316
1.1587,-9.106765263
1.1566,-9.211511209
1.1544,-9.316257156
1.1521,-9.421003102
1.1499,-9.525749048
1.1478,-9.630494995
1.1462,-9.735240941
1.1454,-9.839986888
1.1601,-9.944732834
1.179,-10.04947878
1.1977,-10.15422473
1.2151,-10.25897067
1.2324,-10.36371662
1.2523,-10.46846257
1.2722,-10.57320851
1.2919,-10.67795446
1.3116,-10.78270041
1.3311,-10.88744635
1.3497,-10.9921923
1.3675,-11.09693825
1.385,-11.20168419
1.4019,-11.30643014
1.4178,-11.41117608
1.4328,-11.51592203
1.4472,-11.62066798
1.4613,-11.72541392
1.4749,-11.83015987
1.4886,-11.93490582
1.5014,-12.03965176
1.5124,-12.14439771
1.5213,-12.24914366
1.5278,-12.3538896
1.5331,-12.45863555
1.5371,-12.5633815
1.5401,-12.66812744
1.5429,-12.77287339
1.544,-12.87761934
1.5437,-12.98236528
1.543,-13.08711123
1.5383,-13.19185717
1.5272,-13.29660312
1.5051,-13.40134907
1.4668,-13.50609501
1.4178,-13.61084096
1.3622,-13.71558691
